district,code,endorsedtrump,party,demp,repp,demc,repc,year,white,black,latino,asianandpacificislander,native,highschoolorgreater,bachelorsdegreeorhigher,medianincome
Iowa's 3rd,IA-03,Endorsed Trump,Republican,39.7,53.400002,155002,208598,2016,90.099998,3.4000001,3.4000001,1.8,0.2,91.900002,32.200001,62390
Iowa's 3rd,IA-03,Endorsed Trump,Democratic,49.3,47.099998,175642,167933,2018,90.099998,3.4000001,3.4000001,1.8,0.2,91.900002,32.200001,62390
Iowa's 3rd,IA-03,Endorsed Trump,Republican,42.2,52.799999,119109,148814,2014,90.099998,3.4000001,3.4000001,1.8,0.2,91.900002,32.200001,62390
Iowa's 4th,IA-04,Endorsed Trump,Republican,38.6,61.200001,142993,226719,2016,93.400002,1.2,3.2,1,0.40000001,91.199997,24.1,52799
Iowa's 4th,IA-04,Endorsed Trump,Republican,47,50.299999,147246,157676,2018,93.400002,1.2,3.2,1,0.40000001,91.199997,24.1,52799
Iowa's 4th,IA-04,Endorsed Trump,Republican,38.3,61.599998,105504,169834,2014,93.400002,1.2,3.2,1,0.40000001,91.199997,24.1,52799
Idaho's 1st,ID-01,Endorsed Trump,Republican,30.8,62.799999,96922,197719,2018,89,0.40000001,6.8000002,1,1.2,90.599998,25.1,51632
Idaho's 1st,ID-01,Endorsed Trump,Republican,31.8,68.199997,113052,242252,2016,89,0.40000001,6.8000002,1,1.2,90.599998,25.1,51632
Idaho's 1st,ID-01,Endorsed Trump,Republican,35,65,77277,143580,2014,89,0.40000001,6.8000002,1,1.2,90.599998,25.1,51632
Idaho's 2nd,ID-02,Republican,Republican,38.6,61.400002,82801,131492,2014,87.699997,0.60000002,8.1000004,1.1,1.1,89.800003,28.6,50222
Idaho's 2nd,ID-02,Republican,Republican,39.3,60.700001,110381,170274,2018,87.699997,0.60000002,8.1000004,1.1,1.1,89.800003,28.6,50222
Idaho's 2nd,ID-02,Republican,Republican,29.4,62.900002,95940,205292,2016,87.699997,0.60000002,8.1000004,1.1,1.1,89.800003,28.6,50222
Illinois' 1st,IL-01,Democrat,Democratic,74.1,25.9,234037,81817,2016,37.599998,52.900002,6.9000001,1.3,0.2,88.800003,27.700001,50666
Illinois' 1st,IL-01,Democrat,Democratic,73.1,26.9,162268,59749,2014,37.599998,52.900002,6.9000001,1.3,0.2,88.800003,27.700001,50666
Illinois' 1st,IL-01,Democrat,Democratic,73.5,19.799999,189560,50960,2018,37.599998,52.900002,6.9000001,1.3,0.2,88.800003,27.700001,50666
Illinois' 2nd,IL-02,Democrat,Democratic,81.1,18.9,190684,44567,2018,32.099998,57.099998,9.1000004,0.60000002,0.1,87.599998,22.5,47510
Illinois' 2nd,IL-02,Democrat,Democratic,79.8,20.200001,235051,59471,2016,32.099998,57.099998,9.1000004,0.60000002,0.1,87.599998,22.5,47510
Illinois' 2nd,IL-02,Democrat,Democratic,78.5,21.4,160337,43799,2014,32.099998,57.099998,9.1000004,0.60000002,0.1,87.599998,22.5,47510
Illinois' 3rd,IL-03,Democrat,Democratic,100,0,225320,0,2016,67.400002,5.5,22.799999,3.5999999,0.1,85.400002,27.299999,64489
Illinois' 3rd,IL-03,Democrat,Democratic,73,25.9,163053,57885,2018,67.400002,5.5,22.799999,3.5999999,0.1,85.400002,27.299999,64489
Illinois' 3rd,IL-03,Democrat,Democratic,64.6,35.400002,116764,64091,2014,67.400002,5.5,22.799999,3.5999999,0.1,85.400002,27.299999,64489
Illinois' 4th,IL-04,Democrat,Democratic,100,0,171297,0,2016,33,5.0999999,56.400002,4.1999998,0.2,70.900002,23,49321
Illinois' 4th,IL-04,Democrat,Democratic,78.1,21.9,79666,22278,2014,33,5.0999999,56.400002,4.1999998,0.2,70.900002,23,49321
Illinois' 4th,IL-04,Democrat,Democratic,86.6,13.4,143895,22294,2018,33,5.0999999,56.400002,4.1999998,0.2,70.900002,23,49321
Illinois' 5th,IL-05,Democrat,Democratic,67.8,27.5,212842,86222,2016,74.099998,3,15,6.1999998,0.1,91.5,53.400002,78227
Illinois' 5th,IL-05,Democrat,Democratic,76.7,23.299999,213992,65134,2018,74.099998,3,15,6.1999998,0.1,91.5,53.400002,78227
Illinois' 5th,IL-05,Democrat,Democratic,63.2,30.6,116364,56350,2014,74.099998,3,15,6.1999998,0.1,91.5,53.400002,78227
Illinois' 6th,IL-06,Democrat,Democratic,53.6,46.400002,169001,146445,2018,83.099998,2.4000001,6.3000002,7.3000002,0,94.599998,51.5,96460
